"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2021-22","671","Haralson County","ALL","All Column Values","School Administration",1259580.38,754119.77,2013700.15,4.05,3.59,4.51,3.56
"2021-22","671","Haralson County","ALL","All Column Values","Teachers and Paraprofessionals",14715527.46,7285424.66,22000952.12,44.26,39.24,49.3,38.91
"2021-22","672","Harris County","ALL","All Column Values","General Administration",431585.52,812481.75,1244067.27,1.94,1.57,1.98,1.67
"2021-22","672","Harris County","ALL","All Column Values","School Administration",1922049.43,1009727.05,2931776.48,4.57,3.7,4.66,3.94
"2021-22","672","Harris County","ALL","All Column Values","Teachers and Paraprofessionals",21599754.21,9956881.92,31556636.13,49.19,39.85,50.14,42.4
"2021-22","673","Hart County","ALL","All Column Values","General Administration",436701.22,211751.38,648452.6,1.45,1.2,1.53,1.31
"2021-22","673","Hart County","ALL","All Column Values","School Administration",1234377.39,723142.35,1957519.74,4.39,3.64,4.61,3.97
"2021-22","673","Hart County","ALL","All Column Values","Teachers and Paraprofessionals",13730859.18,6776812.35,20507671.53,45.98,38.09,48.28,41.55
"2021-22","674","Heard County","ALL","All Column Values","General Administration",673610.5,238987.36,912597.86,3.23,2.41,3.62,2.66
"2021-22","674","Heard County","ALL","All Column Values","School Administration",1000267.14,441552.83,1441819.97,5.1,3.81,5.72,4.2
"2021-22","674","Heard County","ALL","All Column Values","Teachers and Paraprofessionals",7871996.97,3439451.71,11311448.68,40.03,29.91,44.91,32.93
"2021-22","675","Henry County","ALL","All Column Values","General Administration",2238503.15,969920.19,3208423.34,0.65,0.38,0.69,0.51
"2021-22","675","Henry County","ALL","All Column Values","School Administration",16332362.33,8756336.97,25088699.3,5.1,2.94,5.41,4
"2021-22","675","Henry County","ALL","All Column Values","Teachers and Paraprofessionals",159027176.81,81825064.98,240852241.79,48.99,28.26,51.92,38.41
"2021-22","676","Houston County","ALL","All Column Values","General Administration",1881549.68,1127160.99,3008710.67,0.8,0.61,0.84,0.69
"2021-22","676","Houston County","ALL","All Column Values","School Administration",12281435.32,6107908.35,18389343.67,4.88,3.73,5.14,4.21
"2021-22","676","Houston County","ALL","All Column Values","Teachers and Paraprofessionals",130691122.06,60092307.43,190783429.49,50.58,38.73,53.3,43.72
"2021-22","677","Irwin County","ALL","All Column Values","General Administration",566449.43,231697.64,798147.07,3.48,3.19,3.53,2.93
"2021-22","677","Irwin County","ALL","All Column Values","School Administration",595058.9,248573.75,843632.65,3.68,3.37,3.73,3.1
"2021-22","677","Irwin County","ALL","All Column Values","Teachers and Paraprofessionals",7256919.89,3356174.72,10613094.61,46.3,42.43,46.91,39.01
"2021-22","678","Jackson County","ALL","All Column Values","General Administration",883436.45,618160.11,1501596.56,1.3,1.02,1.29,1.02
"2021-22","678","Jackson County","ALL","All Column Values","School Administration",2598211.87,1480437.83,4078649.7,3.52,2.78,3.5,2.76
"2021-22","678","Jackson County","ALL","All Column Values","Teachers and Paraprofessionals",39631355.02,18985875.59,58617230.61,50.57,39.97,50.27,39.69
"2021-22","679","Jasper County","ALL","All Column Values","General Administration",213067,169654.31,382721.31,1.26,1.12,1.36,1.24
"2021-22","679","Jasper County","ALL","All Column Values","School Administration",895619.84,493497.9,1389117.74,4.58,4.05,4.93,4.5
"2021-22","679","Jasper County","ALL","All Column Values","Teachers and Paraprofessionals",8796552.73,4335492.73,13132045.46,43.33,38.29,46.57,42.56
"2021-22","680","Jeff Davis County","ALL","All Column Values","General Administration",387422.16,272221.08,659643.24,1.82,1.58,1.97,1.68
"2021-22","680","Jeff Davis County","ALL","All Column Values","School Administration",894314.76,378812.79,1273127.55,3.5,3.04,3.81,3.23
"2021-22","680","Jeff Davis County","ALL","All Column Values","Teachers and Paraprofessionals",10731150.21,4914889.07,15646039.28,43.07,37.36,46.79,39.73
"2021-22","681","Jefferson County","ALL","All Column Values","General Administration",200389.14,125825.37,326214.51,1.03,0.79,1.09,0.97
"2021-22","681","Jefferson County","ALL","All Column Values","School Administration",976039.72,440060.8,1416100.52,4.49,3.45,4.71,4.2
"2021-22","681","Jefferson County","ALL","All Column Values","Teachers and Paraprofessionals",9575872.04,4626463.45,14202335.49,45.04,34.58,47.27,42.14
"2021-22","682","Jenkins County","ALL","All Column Values","General Administration",117028.56,142445.98,259474.54,1.57,1.39,1.66,1.5
"2021-22","682","Jenkins County","ALL","All Column Values","School Administration",583634.4,276931.72,860566.12,5.2,4.59,5.52,4.98
"2021-22","682","Jenkins County","ALL","All Column Values","Teachers and Paraprofessionals",5183263.63,2318123.8,7501387.43,45.33,40.04,48.08,43.43
"2021-22","683","Johnson County","ALL","All Column Values","General Administration",135000,139735.24,274735.24,1.84,1.63,1.81,1.62
"2021-22","683","Johnson County","ALL","All Column Values","School Administration",398806.74,292755.38,691562.12,4.63,4.12,4.56,4.08
"2021-22","683","Johnson County","ALL","All Column Values","Teachers and Paraprofessionals",4242585.57,2137596.91,6380182.48,42.7,37.97,42.04,37.67
"2021-22","684","Jones County","ALL","All Column Values","General Administration",258612.28,246024.99,504637.27,0.82,0.72,0.85,0.76
"2021-22","684","Jones County","ALL","All Column Values","School Administration",1803587.23,891880,2695467.23,4.37,3.86,4.54,4.04
"2021-22","684","Jones County","ALL","All Column Values","Teachers and Paraprofessionals",20708651.79,10318331.61,31026983.4,50.32,44.38,52.24,46.55
"2021-22","685","Lamar County","ALL","All Column Values","General Administration",490384.01,259111.7,749495.71,2.26,1.89,2.61,2.17
"2021-22","685","Lamar County","ALL","All Column Values","School Administration",814031.9,396435.24,1210467.14,3.66,3.05,4.21,3.51
"2021-22","685","Lamar County","ALL","All Column Values","Teachers and Paraprofessionals",10648208.75,4677725.87,15325934.62,46.28,38.6,53.28,44.43
"2021-22","686","Lanier County","ALL","All Column Values","General Administration",138808.56,254265.12,393073.68,1.6,1.46,1.85,1.61
"2021-22","686","Lanier County","ALL","All Column Values","School Administration",652453.47,360127.84,1012581.31,4.12,3.75,4.76,4.14
"2021-22","686","Lanier County","ALL","All Column Values","Teachers and Paraprofessionals",6243038.59,3147047.59,9390086.18,38.16,34.78,44.15,38.35
"2021-22","687","Laurens County","ALL","All Column Values","General Administration",561783.68,515035.62,1076819.3,1.34,1,1.46,0.73
"2021-22","687","Laurens County","ALL","All Column Values","School Administration",2009648.88,1197978.82,3207627.7,3.98,2.96,4.36,2.16
"2021-22","687","Laurens County","ALL","All Column Values","Teachers and Paraprofessionals",25391096.53,12764591.38,38155687.91,47.38,35.26,51.88,25.7
"2021-22","688","Lee County","ALL","All Column Values","General Administration",407249.09,228737.47,635986.56,0.91,0.79,0.95,0.83
"2021-22","688","Lee County","ALL","All Column Values","School Administration",1768869.21,1029026.16,2797895.37,4,3.49,4.19,3.64
"2021-22","688","Lee County","ALL","All Column Values","Teachers and Paraprofessionals",22602945.5,11596822.63,34199768.13,48.93,42.65,51.17,44.49
"2021-22","689","Liberty County","ALL","All Column Values","General Administration",1173451.08,479223.02,1652674.1,1.34,1.13,1.38,1.19
"2021-22","689","Liberty County","ALL","All Column Values","School Administration",3778757.74,1966057.84,5744815.58,4.67,3.91,4.81,4.13
"2021-22","689","Liberty County","ALL","All Column Values","Teachers and Paraprofessionals",38891498.96,18707074.08,57598573.04,46.78,39.24,48.24,41.39
"2021-22","690","Lincoln County","ALL","All Column Values","General Administration",226317.77,149872.25,376190.02,2.36,2.01,2.32,2.01
"2021-22","690","Lincoln County","ALL","All Column Values","School Administration",523324.08,306645.22,829969.3,5.22,4.44,5.12,4.43
"2021-22","690","Lincoln County","ALL","All Column Values","Teachers and Paraprofessionals",4876368.19,2534789.49,7411157.68,46.57,39.68,45.68,39.56
"2021-22","691","Long County","ALL","All Column Values","General Administration",198624.7,180460.22,379084.92,0.8,0.71,0.98,0.89
"2021-22","691","Long County","ALL","All Column Values","School Administration",1126099.92,479770.47,1605870.39,3.41,2.99,4.16,3.75
"2021-22","691","Long County","ALL","All Column Values","Teachers and Paraprofessionals",12569152.42,5922048.88,18491201.3,39.23,34.39,47.88,43.23
"2021-22","692","Lowndes County","ALL","All Column Values","General Administration",872420.17,1022184.3,1894604.47,1.48,1.24,1.66,1.22
"2021-22","692","Lowndes County","ALL","All Column Values","School Administration",3143985.8,1477919.42,4621905.22,3.62,3.03,4.06,2.96
"2021-22","692","Lowndes County","ALL","All Column Values","Teachers and Paraprofessionals",41568139.04,19163533.91,60731672.95,47.59,39.81,53.31,38.95
"2021-22","693","Lumpkin County","ALL","All Column Values","General Administration",497658.39,235392.85,733051.24,1.6,1.31,1.57,1.05
"2021-22","693","Lumpkin County","ALL","All Column Values","School Administration",1505386.54,757076.32,2262462.86,4.92,4.05,4.86,3.24
"2021-22","693","Lumpkin County","ALL","All Column Values","Teachers and Paraprofessionals",16504150.24,7610173.41,24114323.65,52.47,43.18,51.75,34.5
"2021-22","694","Macon County","ALL","All Column Values","General Administration",457541.6,215664.26,673205.86,3.36,3,3.33,3.05
"2021-22","694","Macon County","ALL","All Column Values","School Administration",508002.76,287125.6,795128.36,3.97,3.55,3.93,3.6
"2021-22","694","Macon County","ALL","All Column Values","Teachers and Paraprofessionals",3721726.1,1998224.61,5719950.71,28.55,25.53,28.29,25.89
"2021-22","695","Madison County","ALL","All Column Values","General Administration",489455.73,304179.79,793635.52,1.18,1.06,1.3,1.15
"2021-22","695","Madison County","ALL","All Column Values","School Administration",1823210.46,1104802.2,2928012.66,4.37,3.9,4.79,4.24
"2021-22","695","Madison County","ALL","All Column Values","Teachers and Paraprofessionals",22752220.99,11210239.95,33962460.94,50.65,45.29,55.59,49.22
"2021-22","696","Marion County","ALL","All Column Values","General Administration",173403.15,129999.04,303402.19,1.69,1.46,1.81,1.61
"2021-22","696","Marion County","ALL","All Column Values","School Administration",585519.43,286539.24,872058.67,4.85,4.2,5.2,4.64
"2021-22","696","Marion County","ALL","All Column Values","Teachers and Paraprofessionals",4679486.83,2161184.45,6840671.28,38.03,32.92,40.76,36.4
"2021-22","697","McDuffie County","ALL","All Column Values","General Administration",251706.42,152009.1,403715.52,0.9,0.55,0.98,0.84
"2021-22","697","McDuffie County","ALL","All Column Values","School Administration",1257417.73,649984.9,1907402.63,4.24,2.58,4.62,3.96
"2021-22","697","McDuffie County","ALL","All Column Values","Teachers and Paraprofessionals",14579899.5,6213482.74,20793382.24,46.18,28.09,50.33,43.2
"2021-22","698","McIntosh County","ALL","All Column Values","General Administration",241345.72,119378.22,360723.94,1.7,1.49,1.98,1.57
"2021-22","698","McIntosh County","ALL","All Column Values","School Administration",515691.37,278792.9,794484.27,3.74,3.29,4.36,3.46
"2021-22","698","McIntosh County","ALL","All Column Values","Teachers and Paraprofessionals",5018287.31,2416220.93,7434508.24,34.98,30.78,40.81,32.41
"2021-22","699","Meriwether County","ALL","All Column Values","General Administration",372448.8,283243.89,655692.69,1.69,1.47,1.77,1.58
"2021-22","699","Meriwether County","ALL","All Column Values","School Administration",1122953.63,513673.62,1636627.25,4.23,3.67,4.41,3.94
"2021-22","699","Meriwether County","ALL","All Column Values","Teachers and Paraprofessionals",9060792.51,3801228.69,12862021.2,33.25,28.82,34.63,30.93
"2021-22","700","Miller County","ALL","All Column Values","General Administration",345477.04,173774.57,519251.61,4.05,3.58,4.47,3.87
"2021-22","700","Miller County","ALL","All Column Values","School Administration",457510.91,176446.21,633957.12,4.95,4.37,5.46,4.72
"2021-22","700","Miller County","ALL","All Column Values","Teachers and Paraprofessionals",3208226.98,1552645.77,4760872.75,37.16,32.83,41.02,35.48
"2021-22","701","Mitchell County","ALL","All Column Values","General Administration",354097.6,171423.67,525521.27,1.88,1.69,2.37,2.16
"2021-22","701","Mitchell County","ALL","All Column Values","School Administration",914040,418313.09,1332353.09,4.76,4.28,6,5.49
"2021-22","701","Mitchell County","ALL","All Column Values","Teachers and Paraprofessionals",5960484.42,2747210.6,8707695.02,31.14,27.97,39.24,35.86
"2021-22","702","Monroe County","ALL","All Column Values","General Administration",661790.97,424266.23,1086057.2,1.92,1.61,2.06,1.77
"2021-22","702","Monroe County","ALL","All Column Values","School Administration",1109664.52,766849.83,1876514.35,3.31,2.78,3.55,3.05
"2021-22","702","Monroe County","ALL","All Column Values","Teachers and Paraprofessionals",19066688.12,9162553.18,28229241.3,49.79,41.8,53.44,45.9
"2021-22","703","Montgomery County","ALL","All Column Values","General Administration",108760.69,39322.9,148083.59,1.16,1.01,1.27,1.11
"2021-22","703","Montgomery County","ALL","All Column Values","School Administration",398674.97,167047.83,565722.8,4.42,3.84,4.84,4.24
"2021-22","703","Montgomery County","ALL","All Column Values","Teachers and Paraprofessionals",3451182.06,1697443.75,5148625.81,40.26,34.97,44.05,38.58
"2021-22","704","Morgan County","ALL","All Column Values","General Administration",559281.36,457305.89,1016587.25,2.27,1.9,2.39,2.09
"2021-22","704","Morgan County","ALL","All Column Values","School Administration",1132900.36,608983.31,1741883.67,3.88,3.26,4.09,3.59
"2021-22","704","Morgan County","ALL","All Column Values","Teachers and Paraprofessionals",14106852.3,7233478.17,21340330.47,47.55,39.95,50.08,43.94
"2021-22","705","Murray County","ALL","All Column Values","General Administration",464572.06,210028.11,674600.17,0.88,0.59,0.89,0.77
"2021-22","705","Murray County","ALL","All Column Values","School Administration",2194676.22,1099009.06,3293685.28,4.29,2.9,4.34,3.76
"2021-22","705","Murray County","ALL","All Column Values","Teachers and Paraprofessionals",25720060.96,12247575.51,37967636.47,49.4,33.45,50.06,43.36
"2021-22","706","Muscogee County","ALL","All Column Values","General Administration",1321857.57,1149385.77,2471243.34,0.66,0.48,0.7,0.57
"2021-22","706","Muscogee County","ALL","All Column Values","School Administration",11167515.27,6224279.56,17391794.83,4.64,3.35,4.94,4.03
"2021-22","706","Muscogee County","ALL","All Column Values","Teachers and Paraprofessionals",111457630.59,60727875.6,172185506.19,45.94,33.2,48.86,39.91
"2021-22","707","Newton County","ALL","All Column Values","General Administration",1321375.53,714580.35,2035955.88,0.87,0.75,0.91,0.74
"2021-22","707","Newton County","ALL","All Column Values","School Administration",7012241.88,4092542.45,11104784.33,4.77,4.11,4.96,4.06
"2021-22","707","Newton County","ALL","All Column Values","Teachers and Paraprofessionals",74802326.07,34269583.39,109071909.46,46.84,40.34,48.73,39.88
"2021-22","708","Oconee County","ALL","All Column Values","General Administration",626799.04,275780.79,902579.83,0.9,0.76,0.93,0.78
"2021-22","708","Oconee County","ALL","All Column Values","School Administration",2924407.01,1669289.38,4593696.39,4.6,3.86,4.74,3.99
"2021-22","708","Oconee County","ALL","All Column Values","Teachers and Paraprofessionals",35891069.25,17584290.93,53475360.18,53.5,44.9,55.22,46.48
"2021-22","709","Oglethorpe County","ALL","All Column Values","General Administration",311733.02,119909.14,431642.16,1.46,1.28,1.64,1.46
"2021-22","709","Oglethorpe County","ALL","All Column Values","School Administration",824868.85,369162.83,1194031.68,4.03,3.54,4.53,4.03
"2021-22","709","Oglethorpe County","ALL","All Column Values","Teachers and Paraprofessionals",9509613.29,4453643.52,13963256.81,47.1,41.41,52.92,47.09
"2021-22","710","Paulding County","ALL","All Column Values","General Administration",1160511.76,815705.71,1976217.47,0.54,0.47,0.58,0.52
"2021-22","710","Paulding County","ALL","All Column Values","School Administration",10703105.4,5820382.24,16523487.64,4.52,3.94,4.82,4.33
"2021-22","710","Paulding County","ALL","All Column Values","Teachers and Paraprofessionals",128560872.62,63419187.65,191980060.27,52.52,45.79,56.03,50.29
"2021-22","711","Peach County","ALL","All Column Values","General Administration",586046.69,348215.41,934262.1,2.07,1.64,1.99,1.42
"2021-22","711","Peach County","ALL","All Column Values","School Administration",1430361.27,658305.74,2088667.01,4.63,3.67,4.45,3.18
"2021-22","711","Peach County","ALL","All Column Values","Teachers and Paraprofessionals",14363908.1,6345700.63,20709608.73,45.87,36.41,44.09,31.57
"2021-22","712","Pickens County","ALL","All Column Values","General Administration",271148.02,194645.74,465793.76,0.8,0.66,0.89,0.72
"2021-22","712","Pickens County","ALL","All Column Values","School Administration",1467182.81,805211.94,2272394.75,3.9,3.24,4.32,3.5
"2021-22","712","Pickens County","ALL","All Column Values","Teachers and Paraprofessionals",17616407.67,9170914.88,26787322.55,45.93,38.24,50.93,41.23
"2021-22","713","Pierce County","ALL","All Column Values","General Administration",378811.1,243754.19,622565.29,1.53,1.33,1.6,1.28
"2021-22","713","Pierce County","ALL","All Column Values","School Administration",1204621.86,715021.3,1919643.16,4.71,4.09,4.94,3.94
"2021-22","713","Pierce County","ALL","All Column Values","Teachers and Paraprofessionals",14952294.56,6934670.86,21886965.42,53.75,46.62,56.33,44.89
"2021-22","714","Pike County","ALL","All Column Values","General Administration",474644.49,268949.72,743594.21,1.94,1.38,2.13,1.67
"2021-22","714","Pike County","ALL","All Column Values","School Administration",1104459.03,495093.81,1599552.84,4.18,2.97,4.59,3.6
"2021-22","714","Pike County","ALL","All Column Values","Teachers and Paraprofessionals",13812692.53,5392331.78,19205024.31,50.21,35.7,55.13,43.19
"2021-22","715","Polk County","ALL","All Column Values","General Administration",566474.26,289304.09,855778.35,0.89,0.62,0.9,0.76
"2021-22","715","Polk County","ALL","All Column Values","School Administration",2472468.34,1315172.01,3787640.35,3.96,2.73,4,3.37
"2021-22","715","Polk County","ALL","All Column Values","Teachers and Paraprofessionals",34459337.53,14699896.57,49159234.1,51.36,35.41,51.95,43.72
"2021-22","716","Pulaski County","ALL","All Column Values","General Administration",507151.83,209997.54,717149.37,4.2,1.65,4.75,1.51
"2021-22","716","Pulaski County","ALL","All Column Values","School Administration",619634.06,275938.05,895572.11,5.25,2.06,5.93,1.88
"2021-22","716","Pulaski County","ALL","All Column Values","Teachers and Paraprofessionals",5146743,2141687.49,7288430.49,42.7,16.77,48.3,15.32
"2021-22","717","Putnam County","ALL","All Column Values","General Administration",596051.26,190366.7,786417.96,1.77,1.05,1.87,1.36
"2021-22","717","Putnam County","ALL","All Column Values","School Administration",1175178.61,559290.05,1734468.66,3.9,2.32,4.13,3
"2021-22","717","Putnam County","ALL","All Column Values","Teachers and Paraprofessionals",13948837.96,5732031.7,19680869.66,44.28,26.29,46.88,34.07
"2021-22","718","Quitman County","ALL","All Column Values","General Administration",244463.68,139864.19,384327.87,6.63,5.88,7.49,6.47
"2021-22","718","Quitman County","ALL","All Column Values","School Administration",189182.66,84465.79,273648.45,4.72,4.19,5.33,4.61
"2021-22","718","Quitman County","ALL","All Column Values","Teachers and Paraprofessionals",1263153.59,533788.37,1796941.96,30.98,27.48,35.01,30.27
"2021-22","719","Rabun County","ALL","All Column Values","General Administration",523377.08,252861.81,776238.89,2.11,1.66,2.3,1.68
"2021-22","719","Rabun County","ALL","All Column Values","School Administration",971276.62,624340.91,1595617.53,4.34,3.42,4.72,3.45
"2021-22","719","Rabun County","ALL","All Column Values","Teachers and Paraprofessionals",11370286.17,5843973.37,17214259.54,46.84,36.87,50.96,37.24
"2021-22","720","Randolph County","ALL","All Column Values","General Administration",312825.38,115561.38,428386.76,3.33,2.94,3.48,3.07
"2021-22","720","Randolph County","ALL","All Column Values","School Administration",619516.99,261983.25,881500.24,6.86,6.05,7.17,6.32
"2021-22","720","Randolph County","ALL","All Column Values","Teachers and Paraprofessionals",2523586.91,1237627.83,3761214.74,29.25,25.83,30.57,26.98
"2021-22","721","Richmond County","ALL","All Column Values","General Administration",3237529,1726745.1,4964274.1,1.24,0.88,1.29,1.05
"2021-22","721","Richmond County","ALL","All Column Values","School Administration",13957952.31,8088366.67,22046318.98,5.5,3.89,5.74,4.67
"2021-22","721","Richmond County","ALL","All Column Values","Teachers and Paraprofessionals",97822310.14,52537215.21,150359525.35,37.54,26.52,39.13,31.86
"2021-22","722","Rockdale County","ALL","All Column Values","General Administration",1377480.65,1056000.63,2433481.28,1.05,0.89,1.1,0.97
"2021-22","722","Rockdale County","ALL","All Column Values","School Administration",6523720.71,3663380.01,10187100.72,4.38,3.73,4.59,4.06
"2021-22","722","Rockdale County","ALL","All Column Values","Teachers and Paraprofessionals",78634315.81,32688311.68,111322627.49,47.89,40.71,50.12,44.39
"2021-22","723","Schley County","ALL","All Column Values","General Administration",232155.26,140432.7,372587.96,2.57,1.7,2.76,2.36
"2021-22","723","Schley County","ALL","All Column Values","School Administration",442341.12,228109.84,670450.96,4.62,3.06,4.97,4.24
"2021-22","723","Schley County","ALL","All Column Values","Teachers and Paraprofessionals",5182689.98,2174340.05,7357030.03,50.66,33.6,54.57,46.54
"2021-22","724","Screven County","ALL","All Column Values","General Administration",374451.13,158954.22,533405.35,1.85,1.65,2.02,1.8
"2021-22","724","Screven County","ALL","All Column Values","School Administration",851692.27,401580.94,1253273.21,4.34,3.87,4.74,4.22
"2021-22","724","Screven County","ALL","All Column Values","Teachers and Paraprofessionals",8696214.39,4110711.04,12806925.43,44.36,39.52,48.44,43.17
"2021-22","725","Seminole County","ALL","All Column Values","General Administration",212713.95,106544.58,319258.53,1.61,1.41,1.7,1.5
"2021-22","725","Seminole County","ALL","All Column Values","School Administration",489759.36,289784.24,779543.6,3.92,3.43,4.14,3.66
"2021-22","725","Seminole County","ALL","All Column Values","Teachers and Paraprofessionals",5221576,2674936.21,7896512.21,39.72,34.79,41.94,37.06
"2021-22","726","Griffin-Spalding County","ALL","All Column Values","General Administration",1333342.97,547037.84,1880380.81,1.45,1.25,1.56,1.36
"2021-22","726","Griffin-Spalding County","ALL","All Column Values","School Administration",5147960.5,2710033.92,7857994.42,6.04,5.21,6.54,5.69
"2021-22","726","Griffin-Spalding County","ALL","All Column Values","Teachers and Paraprofessionals",37203239.36,18784866.87,55988106.23,43.04,37.1,46.57,40.52
"2021-22","727","Stephens County","ALL","All Column Values","General Administration",542990.3,402724.33,945714.63,2.02,1.68,2.08,1.64
"2021-22","727","Stephens County","ALL","All Column Values","School Administration",1283269.8,693065.17,1976334.97,4.21,3.52,4.34,3.42
"2021-22","727","Stephens County","ALL","All Column Values","Teachers and Paraprofessionals",16195831.06,7978693.2,24174524.26,51.55,43.03,53.09,41.88
"2021-22","728","Stewart County","ALL","All Column Values","General Administration",192375.33,108233.49,300608.82,3.39,3.02,3.64,3.29
"2021-22","728","Stewart County","ALL","All Column Values","School Administration",245362.83,108670.34,354033.17,3.99,3.56,4.28,3.87
"2021-22","728","Stewart County","ALL","All Column Values","Teachers and Paraprofessionals",2399619.26,924427.46,3324046.72,37.48,33.43,40.23,36.34
"2021-22","729","Sumter County","ALL","All Column Values","General Administration",429648.57,259188.96,688837.53,1.34,1.11,1.37,1.13
"2021-22","729","Sumter County","ALL","All Column Values","School Administration",1184273.81,792735.82,1977009.63,3.84,3.19,3.94,3.24
"2021-22","729","Sumter County","ALL","All Column Values","Teachers and Paraprofessionals",13733997.44,6816896.31,20550893.75,39.9,33.16,40.98,33.64
"2021-22","730","Talbot County","ALL","All Column Values","General Administration",191164.91,103708.89,294873.8,3.93,3.31,3.63,3.28
"2021-22","730","Talbot County","ALL","All Column Values","School Administration",290651.58,119550.64,410202.22,5.47,4.6,5.05,4.56
"2021-22","730","Talbot County","ALL","All Column Values","Teachers and Paraprofessionals",2232099.23,829152.74,3061251.97,40.83,34.34,37.68,34
"2021-22","731","Taliaferro County","ALL","All Column Values","General Administration",350698.74,65985.12,416683.86,8.16,7.62,8.32,7.76
"2021-22","731","Taliaferro County","ALL","All Column Values","School Administration",162137.14,84395.52,246532.66,4.83,4.51,4.92,4.59
"2021-22","731","Taliaferro County","ALL","All Column Values","Teachers and Paraprofessionals",1182445.61,640721.25,1823166.86,35.7,33.35,36.4,33.97
"2021-22","732","Tattnall County","ALL","All Column Values","General Administration",621950.05,291826.8,913776.85,1.66,1.34,1.85,1.29
"2021-22","732","Tattnall County","ALL","All Column Values","School Administration",1264049.72,647254.38,1911304.1,3.47,2.8,3.87,2.69
"2021-22","732","Tattnall County","ALL","All Column Values","Teachers and Paraprofessionals",15208772.54,7101312.71,22310085.25,40.53,32.64,45.21,31.38
"2021-22","733","Taylor County","ALL","All Column Values","General Administration",249559.8,187850.76,437410.56,1.87,1.39,2.41,1.43
"2021-22","733","Taylor County","ALL","All Column Values","School Administration",344539.71,177188.12,521727.83,2.23,1.66,2.88,1.7
"2021-22","733","Taylor County","ALL","All Column Values","Teachers and Paraprofessionals",6259847.57,2542520.47,8802368.04,37.64,28.01,48.57,28.74
"2021-22","734","Telfair County","ALL","All Column Values","General Administration",140859.36,108470.91,249330.27,1.2,1.05,1.16,1.02
"2021-22","734","Telfair County","ALL","All Column Values","School Administration",823474.64,424514.31,1247988.95,5.99,5.24,5.82,5.12
"2021-22","734","Telfair County","ALL","All Column Values","Teachers and Paraprofessionals",7452318.96,3740315.47,11192634.43,53.73,47,52.23,45.89
"2021-22","735","Terrell County","ALL","All Column Values","General Administration",203151.3,117553.93,320705.23,1.38,1.25,1.8,1.6
"2021-22","735","Terrell County","ALL","All Column Values","School Administration",650291.64,326436.13,976727.77,4.19,3.82,5.47,4.86
"2021-22","735","Terrell County","ALL","All Column Values","Teachers and Paraprofessionals",4642735.63,2045355.2,6688090.83,28.68,26.17,37.47,33.27
"2021-22","736","Thomas County","ALL","All Column Values","General Administration",169120.4,248063.97,417184.37,0.54,0.46,0.58,0.48
"2021-22","736","Thomas County","ALL","All Column Values","School Administration",1771005.8,1049385.44,2820391.24,3.66,3.14,3.91,3.26
"2021-22","736","Thomas County","ALL","All Column Values","Teachers and Paraprofessionals",23981230.83,12527090.37,36508321.2,47.35,40.61,50.6,42.25
"2021-22","737","Tift County","ALL","All Column Values","General Administration",322369.68,266474.84,588844.52,0.62,0.32,0.68,0.55
"2021-22","737","Tift County","ALL","All Column Values","School Administration",2974326.4,1911697.75,4886024.15,5.16,2.67,5.6,4.54
"2021-22","737","Tift County","ALL","All Column Values","Teachers and Paraprofessionals",29699618.68,15691740.23,45391358.91,47.96,24.78,52.04,42.13
"2021-22","738","Toombs County","ALL","All Column Values","General Administration",191108.88,169187.47,360296.35,0.89,0.76,1.03,0.87
"2021-22","738","Toombs County","ALL","All Column Values","School Administration",951119.36,490935.07,1442054.43,3.55,3.04,4.14,3.49
"2021-22","738","Toombs County","ALL","All Column Values","Teachers and Paraprofessionals",11179773.27,5931751.41,17111524.68,42.16,36.06,49.14,41.35
"2021-22","739","Towns County","ALL","All Column Values","General Administration",162081.75,160458.19,322539.94,1.79,1.71,1.97,1.78
"2021-22","739","Towns County","ALL","All Column Values","School Administration",445864.8,237487.75,683352.55,3.79,3.61,4.18,3.76
"2021-22","739","Towns County","ALL","All Column Values","Teachers and Paraprofessionals",5248757.32,2878165.19,8126922.51,45.11,42.97,49.66,44.77
"2021-22","740","Treutlen County","ALL","All Column Values","General Administration",391748.08,149132.47,540880.55,3.37,2.97,4.22,3.74
"2021-22","740","Treutlen County","ALL","All Column Values","School Administration",412799.9,179017.19,591817.09,3.68,3.25,4.61,4.09
"2021-22","740","Treutlen County","ALL","All Column Values","Teachers and Paraprofessionals",4690718.98,1995973.3,6686692.28,41.62,36.76,52.14,46.24
"2021-22","741","Troup County","ALL","All Column Values","General Administration",1322394.12,732814.52,2055208.64,1.32,1.12,1.39,1.29
"2021-22","741","Troup County","ALL","All Column Values","School Administration",4835695.64,2758153.87,7593849.51,4.88,4.13,5.12,4.75
"2021-22","741","Troup County","ALL","All Column Values","Teachers and Paraprofessionals",49967247.61,22862743.7,72829991.31,46.8,39.6,49.13,45.6
"2021-22","742","Turner County","ALL","All Column Values","General Administration",244757.88,161106.31,405864.19,2.24,1.98,2.37,2.17
"2021-22","742","Turner County","ALL","All Column Values","School Administration",647119.9,266488.06,913607.96,5.03,4.46,5.34,4.88
